Media Filename,Media Caption
media/3f2e82f4-310f-4c07-becb-3aa54bcf9d8d.mp4,Stage 5 | Tour de Zwift on Libby Hill After Party in Richmond
media/e5eff523-0cb5-4069-8a4d-49ea48c12e10.mp4,Stage 4 | Tour de Zwift on Lutscher in Innsbruck
media/74aaad51-c3e2-4fc1-9e0c-bd6d98a5300e.mp4,Zwift - Group Ride: Long | Stage 4 | Tour de Zwift on La Reine in France
media/89893DD0-0AF3-4B72-B383-F2FD7F4A61B0.jpg,""
media/ADA6DE00-34F4-4ED0-9373-D470EA6C2565.jpg,""
media/1E5FA1B1-21AB-4612-BEE6-5C1C76B16989.jpg,""
media/2A22F84D-D691-4212-A17D-3396CE6D8915.jpg,""
media/1E0CFD2D-E516-4172-B2DA-755337E6A768.jpg,""
media/2CC49765-0213-47DC-9850-240EF722F68D.jpg,""
media/D6B5CB2B-8969-4F4B-A694-0119E6191DBE.jpg,""
media/E061A465-EE3E-473B-B834-4D452549AD49.jpg,""
media/352CA1AD-53F9-48A7-A92D-99178C95A909.jpg,""
media/9284f088-37fa-45ac-8404-61c07b72396b.jpg,""
media/de0dc32f-600a-4868-ae46-114b33ea539c.mp4,Zwift - Group Ride: Standard | Stage 2 | Tour de Zwift on Temples and Towers in Makuri Islands
media/a97f0863-7eed-455a-928e-b0a4a6e952fe.mp4,Zwift - Group Ride: Long | Stage 2 | Tour de Zwift on Snowman in Watopia
media/8A118EC3-F7D3-4B18-BEBD-5A58ED3E3FE8.jpg,""
media/4A136D4A-C4B7-4972-A36B-E54EDAEA7F9F.jpg,""
media/6961B890-9D53-4A4B-B789-4ACFEA6A03AD.jpg,""
media/7b9c4236-84c7-450a-957f-621f578e623d.jpg,""
media/934af397-7590-4087-ab8d-bc515e9bb374.jpg,""
media/1a6e244a-bcd9-4397-9e2b-296707769f90.jpg,""
media/1ecde47d-a99e-4133-b05b-b8b44ca8a421.jpg,""
media/f35659e7-3384-46c2-a92d-0a6f17a13be1.jpg,""
media/03498A10-8F5F-455D-9BE4-EDA1D947247D.jpg,""
media/CC76290E-461C-4755-A2E6-51FBEE32CF2E.jpg,""
media/7dcfd394-4ddf-4f23-881e-ef4736f82578.jpg,""
