Comment Date,Comment
"Nov 3, 2019, 7:57:17 PM",Nice man we must have been running close by - great finish 
"Nov 3, 2019, 8:01:23 PM",272 lol!  
"Nov 3, 2019, 8:02:50 PM",Epic 😎
"Nov 5, 2019, 4:10:25 PM",Nice next time I'll have to follow you
"Nov 8, 2019, 2:09:18 AM",Yeah I only wish I could do it for real!
"Nov 8, 2019, 3:10:26 AM",Woah New name 
"Nov 8, 2019, 10:13:07 PM",I think we just live really close by 
"Nov 11, 2019, 3:15:19 AM",Nice long one. You want to ride together on Zwift? 
"Nov 13, 2019, 5:53:55 PM",sign me up
"Nov 13, 2019, 5:55:12 PM",chest strap is definitely the way to go 
"Nov 16, 2019, 1:00:05 AM",Good riding with you today 
"Nov 16, 2019, 1:03:28 AM",I wasn’t expecting that lead in part - went out fast and furious 
"Nov 16, 2019, 2:16:29 AM",Nice riding with you today 
"Nov 16, 2019, 2:20:58 AM","Aaron Mason I’ve only done a couple races so far and they all make me want to die by the end.  But at the same time, nothing is more motivating.  "
"Nov 19, 2019, 1:50:26 PM",Nice riding with you today 
"Nov 19, 2019, 2:19:45 PM",nice to ride with you this morning
"Nov 19, 2019, 2:20:03 PM",Nice riding with you today
"Nov 19, 2019, 2:20:17 PM",Nice racing with you today. 
"Nov 19, 2019, 2:21:30 PM",nice riding with you today!
"Nov 19, 2019, 2:22:35 PM",Good race!
"Nov 19, 2019, 2:23:23 PM",nice racing with you this morning
"Nov 19, 2019, 2:24:15 PM",nice riding with you today
"Nov 19, 2019, 2:42:58 PM",I wasn't familiar with the course but had a feeling from the name that the monster hill was looming ahead the whole time
"Nov 19, 2019, 5:42:52 PM","A YouTuber (GPLama) analyzed the course on best bike split and has suggested the fastest possible strategy is reverse-splits in the sense that your power for the flat portion should be less than the ride average, while the power for the climb should be above it.    I had NO warm up today (5am start lol) but I think I can take another 30 seconds off by putting down a little more power at the start without letting the heart rate go nuts. "
"Nov 19, 2019, 5:52:16 PM","Essentially on this ride I did 233 watts (90% FTP) on the flat ~6 km and 297W (114%) on the climb
The interesting thing, is the time elapsed for both sections is going to be almost identical. Ride average is right around 100% FTP.

Next time I'll try to average just a few watts higher and repeat as I gain fitness.  Or die. "
"Nov 21, 2019, 9:04:24 PM",Looks nice for November!
"Nov 22, 2019, 12:49:51 AM",Nice! You were racing Tyler 
"Nov 22, 2019, 1:13:23 AM",Tyler Pearce (“The vegan cyclist”) a cat 2 out of northern CA. He has a fairly popular YouTube channel with some nice videos about cycling  I’ve enjoyed over the past year.
"Nov 23, 2019, 5:39:16 PM",Hell yea dude 
