Join Date,Name,Completed
"May 17, 2022, 1:54:34 PM",4 Half-Hours 4 Half Off Skratch,true
"May 20, 2022, 4:05:10 PM",Salomon Push Your Pace!,true
"May 27, 2022, 2:36:07 AM",June Half Marathon,true
"May 27, 2022, 2:36:09 AM",June 10k,true
"May 27, 2022, 2:36:10 AM",June 5K,true
"May 27, 2022, 11:38:08 AM",Gatorlyte 6-Hour Sweat (A Lot) Challenge,true
"Jun 3, 2022, 8:18:34 PM",Get Sponsored By The Feed,true
"Jun 6, 2022, 4:22:58 PM",Core Power 10 Mile Challenge,true
"Jun 6, 2022, 5:02:10 PM",Gatorlyte 10-Hour Insanity Challenge,true
"Jun 13, 2022, 1:47:11 PM",Nuun Summer Crush 300,true
"Jun 24, 2022, 7:51:37 PM",July 5K,true
"Jun 24, 2022, 7:51:38 PM",July 10k,true
"Jun 24, 2022, 7:51:39 PM",July Running Challenge,true
"Jun 24, 2022, 8:16:15 PM",July Running Endurance Challenge,true
"Jun 24, 2022, 8:16:17 PM",July Running Distance Challenge,true
"Jun 24, 2022, 8:16:20 PM",July Half Marathon,true
"Jun 30, 2022, 6:17:02 PM",June Cycling Consistency Challenge,false
"Jun 30, 2022, 7:26:17 PM",June Running Endurance Challenge,true
"Jul 8, 2022, 8:46:42 PM",Maurten — Get Used To It Challenge,true
"Jul 16, 2022, 1:47:16 AM",Stage 20 – Time Trial,false
"Jul 20, 2022, 3:35:27 PM",Nuun For the Love of Sport Challenge,true
"Aug 3, 2022, 10:00:56 PM",360 Sale by Skratch Labs,true
"Aug 4, 2022, 6:35:25 PM",August 10k,true
"Aug 4, 2022, 6:35:26 PM",August Half Marathon,true
"Aug 27, 2022, 7:05:47 PM",REI Co-op Sun's Out Run's Out Challenge,true
"Sep 16, 2022, 2:42:09 PM",Nuun Summer Sunset 300 Challenge,true
"Sep 19, 2022, 3:26:50 PM",Cancer Research UK 13.1 Mile Training Challenge,true
"Sep 21, 2022, 10:57:52 PM",September Half Marathon,true
"Sep 21, 2022, 10:57:57 PM",September 5K,true
"Sep 21, 2022, 10:58:02 PM",September Running Distance Challenge,true
"Sep 21, 2022, 10:58:05 PM",September Running Endurance Challenge,true
"Sep 21, 2022, 10:58:07 PM",September Running Challenge,true
"Sep 25, 2022, 1:06:50 PM",October Running Challenge,true
"Sep 25, 2022, 1:06:52 PM",October Half Marathon,true
"Sep 25, 2022, 9:38:54 PM",October Running Distance Challenge,true
"Sep 25, 2022, 9:38:57 PM",October Running Endurance Challenge,false
"Sep 27, 2022, 3:55:44 PM",October 10k,true
"Sep 27, 2022, 3:55:46 PM",October 5K,true
"Oct 31, 2022, 1:15:03 PM",November 30-Hour Challenge,false
"Nov 5, 2022, 3:33:48 PM",November 5K,true
"Nov 5, 2022, 3:33:51 PM",November Half Marathon,true
"Nov 5, 2022, 3:33:52 PM",November 10k,true
"Nov 5, 2022, 3:33:54 PM",November Running Endurance Challenge,false
"Nov 5, 2022, 3:34:21 PM",November Running Challenge,true
"Nov 20, 2022, 11:52:15 AM",PUMA Finish Strong Challenge,true
"Dec 28, 2022, 12:31:33 PM",January Fresh Start Challenge,false
"Apr 16, 2023, 2:52:46 PM",Find Your 15 with L.L.Bean,true
"Apr 16, 2023, 2:52:54 PM",Boston Spring Ahead by Red Bull,true
"Apr 16, 2023, 2:52:57 PM",April 5k,true
"Apr 16, 2023, 2:52:59 PM",April 10k,true
"Apr 16, 2023, 2:53:00 PM",April Half Marathon,true
"May 7, 2023, 12:01:24 AM",May 5k,true
"May 7, 2023, 12:01:26 AM",May Running Challenge,true
"May 7, 2023, 12:01:28 AM",May 10k,true
"May 7, 2023, 12:01:29 AM",May Half Marathon,true
"May 7, 2023, 12:01:30 AM",May Running Endurance Challenge,false
"May 7, 2023, 12:01:34 AM",May Running Distance Challenge,true
"May 7, 2023, 12:01:43 AM",May Run Climbing Challenge,false
"Aug 26, 2023, 3:56:01 PM",September Half Marathon,true
"Aug 26, 2023, 3:56:16 PM",August 10k,true
"Aug 26, 2023, 3:56:18 PM",August Half Marathon,true
"Aug 26, 2023, 3:56:19 PM",September 5K x Brooks,true
"Aug 26, 2023, 3:56:21 PM",September Running Distance Challenge,false
"Aug 26, 2023, 3:56:23 PM",September Running Endurance Challenge,false
"Aug 26, 2023, 3:56:24 PM",September Running Challenge,false
"Aug 26, 2023, 3:56:30 PM",100MilesofSummer powered by lululemon,true
"Aug 26, 2023, 3:56:36 PM",September Outside With L.L.Bean,true
"Oct 20, 2023, 1:00:19 PM",October Half Marathon,true
"Oct 20, 2023, 1:00:21 PM",October 10K,true
"Oct 20, 2023, 1:00:22 PM",October Running Challenge,true
"Oct 20, 2023, 1:00:23 PM",October Running Endurance Challenge,false
"Oct 20, 2023, 1:00:31 PM",lululemon 10K Tour Virtual,true
"Oct 20, 2023, 1:00:37 PM",Get a 2023 Sponsorship from The Feed,true
"Oct 20, 2023, 1:00:38 PM",GOREWEAR Commit to All Conditions Challenge,true
"Oct 20, 2023, 1:00:41 PM",Team Milk 26.2 Challenge,true
"Dec 3, 2023, 9:29:41 PM",December Half Marathon,true
"Jan 2, 2024, 8:37:52 PM",Chipotle No Quitters Challenge,true
"Jan 2, 2024, 8:38:05 PM",January Half Marathon Challenge,true
"Jan 2, 2024, 8:38:08 PM",January Fresh Start Challenge,true
"Jan 2, 2024, 8:38:10 PM",January 10K Challenge,true
"Jan 20, 2024, 4:15:16 PM",January Run 100K Challenge,true
"Jan 20, 2024, 4:15:36 PM",Rise for 2024: Eight Sleep Challenge,true
"Jan 20, 2024, 4:15:38 PM",ROKA Winter Warrior 200,true
"Jan 28, 2024, 8:59:51 PM",January 5K x Brooks Challenge,true
"Jan 28, 2024, 8:59:53 PM",February 5K x Brooks Challenge,true
"Jan 28, 2024, 8:59:57 PM",Le Col Project 24 Challenge,true
"Jan 28, 2024, 9:00:20 PM",February 10K Challenge,true
"Mar 1, 2024, 3:43:54 PM",March Half Marathon Challenge,true
"Mar 1, 2024, 3:43:56 PM",March 10K Challenge,true
"Mar 1, 2024, 3:43:59 PM",March 5K x Brooks Challenge,true
"Mar 1, 2024, 3:44:04 PM",March Running Elevation Challenge,true
"Jul 22, 2024, 6:46:47 PM",Get Sponsored By The Feed,true
