Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
CRW Mystic Lakes TT - 5 Mile,3918508546,42.423565,-71.153221,42.423256,-71.153511
Rippers - Turkey Hill,4162856051,42.429771,-71.177449,42.432644,-71.172921
"Where we're going, We don't need Roads!",4196031221,42.458305,-71.209296,42.458279,-71.20825
The Bell Lap,4383982222,42.403873,-71.133598,42.403719,-71.133208
Ridge Rush,4408908942,42.323708,-71.247507,42.323913,-71.242548
Last hill to town,4447818035,36.372088,-94.204791,36.372192,-94.207958
It's 3600 meters,4545293890,42.366124,-71.127905,42.366128,-71.12786
Weston 2.8K Race LAP,4838977078,42.33341,-71.26803,42.33334,-71.268192
Wacky Weston ,4959382345,42.333419,-71.267975,42.333442,-71.268182
CRW Mystic Lakes TT - 10 Mile ,5098402242,42.423568,-71.153214,42.421609,-71.151885
Weeks North ,5235357028,42.367934,-71.11875,42.369015,-71.11764
CRW Mystic Lakes TT - 20 Mile ,5275430730,42.423997,-71.152933,42.421846,-71.145791
Oxbow to Easthampton ,5379805710,42.286847,-72.617226,42.267434,-72.669963
The Muffin Man,5379805710,42.282367,-72.730759,42.290365,-72.735282
Get your kicks...on Route 66 ,5379805710,42.294083,-72.734363,42.298497,-72.716997
Home Stretch ,5397461616,42.436918,-71.150622,42.439647,-71.146539
Horseshoe Bay Hillclimb ,5428935889,32.252106,-64.823887,32.254745,-64.822161
Harvest Tri - First 20km ,5457555314,41.783416,-70.719327,41.908619,-70.710351
Harvest Tri - Black Cat to Hairpin,5457558005,41.931295,-70.702543,41.839068,-70.692244
Pythagoras’ Theorem ,5397461616,42.431723,-71.147613,42.43646,-71.150535
SRR Bur-Run final half mile ,5508339229,42.394062,-71.11104,42.395897,-71.120173
2021 White Mountains Olympic Tri Bike  ,5533615255,44.178144,-71.699291,44.17889,-71.694921
White Mountains Tri KOM challenge ,5533615255,44.205144,-71.721747,44.204234,-71.713489
Adams St NB,5552348529,42.410252,-71.147574,42.412099,-71.145008
Bates to Broadway ,5591731538,42.408573,-71.145808,42.410995,-71.142585
Three Servings of School Robbins,5736952896,42.420483,-71.17096,42.414952,-71.179313
VO Ripper Commute ,5736952896,42.407145,-71.133977,42.448927,-71.174489
Natick to Hopkinton ,6095748090,42.283669,-71.348707,42.230188,-71.517737
Midnight Marathon Ride - First Half ,6095748090,42.230822,-71.517192,42.297377,-71.290562
THE Midnight Marathon Ride to Hopkinton ,6095748090,42.348458,-71.098736,42.230108,-71.517821
Harlow NB,6099116105,42.407911,-71.144955,42.410608,-71.141604
HOCR Run - Reverse ,6151382218,42.367316,-71.136897,42.353844,-71.110905
2022 Weston Week 4 Lap,6582501398,42.333433,-71.267937,42.333482,-71.268177
Bolting on Broadway,6584246492,42.397284,-71.104718,42.405792,-71.131407
Bridge 2 Bridge on the Bikeway ,6584246492,42.396136,-71.140882,42.392701,-71.105903
The Cemetery Shuffle ,6596408379,42.407553,-71.135445,42.407485,-71.135378
The Cemetery Shuffle,6609921779,42.40754,-71.135466,42.407492,-71.135399
Double the Pleasure…,6712499519,42.337938,-71.021598,42.337858,-71.021688
4 Laps Pleasure Bay ,6712499519,42.337938,-71.021598,42.337689,-71.021909
Run to the Beach,6712499519,42.352367,-71.055086,42.338099,-71.022117
Davis to Downtown,,42.393711,-71.120868,42.359495,-71.059799
The Angry Commuter,,42.361283,-71.063886,42.397282,-71.130059
Harvest Triathlon 2022 Olympic Bike,,41.788244,-70.719888,41.788075,-70.719789
Cohasset Tri 2022 KOM,,42.25448,-70.797549,42.258126,-70.80316
Davis to Powder House Circle,,42.396607,-71.122213,42.400677,-71.117211
Tale of Two Bridges,,42.368587,-71.123965,42.369951,-71.122821
Mass State Triathlon 2022,,42.636027,-72.080032,42.639964,-72.080939
Davis to Arlington ,,42.397157,-71.123826,42.414269,-71.152285
Spy Pond Loop,,42.396526,-71.14341,42.401009,-71.145112
4 Mile Segment - West,,42.420113,-71.161319,42.447289,-71.223877
4 Mile Segment - East,,42.447273,-71.223639,42.420143,-71.161407
Turkey Hill Full Segment,,42.302453,-72.746055,42.310003,-72.716563
Turkey Trail,,42.304415,-72.746212,42.310804,-72.731284
Turkey Hill DH,,42.310347,-72.728449,42.309368,-72.715707
Rail Trail 10K,,42.343254,-72.679787,42.348019,-72.574746
Apple Cider Donut ,,42.29818,-72.716931,42.287457,-72.760165
Route 66 DH,,42.287583,-72.75988,42.298125,-72.717542
Clementine Drag Strip,,27.936345,-81.669697,27.940702,-81.672272
Quarter Mile,,27.941229,-81.672399,27.937351,-81.670203
Back Nine,,27.955545,-81.645153,27.960213,-81.64791
Rough Rider KOM,,43.946859,-71.491768,43.958028,-71.492368
Ledger Uphill KOM ,,36.369358,-94.209488,36.370189,-94.209173
College Dropout,,42.428361,-71.152973,42.42588,-71.160388
